Real time,Count rate,CR error,Offset (cm)
2026.04.02  11.10.55,4.22 cps, ±9.7%,2.7
2026.04.02  11.09.19,4.31 cps, ±9.6%,
2026.04.02  11.07.43,4.6 cps, ±9.3%,
2026.04.02  11.06.07,4.08 cps, ±9.9%,
2026.04.02  11.04.31,4.35 cps, ±9.6%,
2026.04.02  11.02.55,4.26 cps, ±9.7%,
2026.04.02  11.01.19,4.12 cps, ±9.8%,
2026.04.02  10.59.43,4.27 cps, ±9.7%,
2026.04.02  10.58.07,4.2 cps, ±9.8%,
2026.04.02  10.56.31,4.07 cps, ±9.9%,
2026.04.02  10.54.55,4.73 cps, ±9.2%,
2026.04.02  10.53.19,4.15 cps, ±9.8%,
2026.04.02  10.51.44,4.39 cps, ±9.6%,
2026.04.02  10.50.08,4.11 cps, ±9.9%,
2026.04.02  10.48.32,4.11 cps, ±9.9%,
2026.04.02  10.46.56,4.22 cps, ±9.7%,
2026.04.02  10.45.20,4.28 cps, ±9.7%,
2026.04.02  10.43.44,4.14 cps, ±9.8%,
2026.04.02  10.42.08,4.39 cps, ±9.6%,
2026.04.02  10.40.32,4.08 cps, ±9.9%,
2026.04.02  10.38.56,4.17 cps, ±9.8%,
2026.04.02  10.37.20,4.39 cps, ±9.6%,
2026.04.02  10.35.44,4.4 cps, ±9.5%,
2026.04.02  10.34.08,4.43 cps, ±9.5%,
2026.04.02  10.32.32,4.23 cps, ±9.7%,
2026.04.02  10.30.56,4.29 cps, ±9.7%,
2026.04.02  10.29.20,4.27 cps, ±9.7%,
2026.04.02  10.27.44,4.19 cps, ±9.8%,
2026.04.02  10.26.08,4.69 cps, ±9.2%,
2026.04.02  10.24.32,4.35 cps, ±9.6%,
2026.04.02  10.22.56,4.03 cps, ±10.0%,
2026.04.02  10.21.20,4.4 cps, ±9.5%,
2026.04.02  10.19.44,4.1 cps, ±9.9%,
2026.04.02  10.18.08,3.88 cps, ±10.2%,
2026.04.02  10.16.32,4.02 cps, ±10.0%,
2026.04.02  10.14.56,4.12 cps, ±9.8%,
2026.04.02  10.13.20,3.97 cps, ±10.0%,
2026.04.02  10.11.44,4.2 cps, ±9.8%,
2026.04.02  10.10.08,4.47 cps, ±9.5%,
2026.04.02  10.08.32,4.31 cps, ±9.6%,
2026.04.02  10.06.56,4.26 cps, ±9.7%,
2026.04.02  10.05.20,4.46 cps, ±9.5%,
2026.04.02  10.03.44,4.38 cps, ±9.6%,
2026.04.02  10.02.08,4.05 cps, ±9.9%,
2026.04.02  10.00.32,4.56 cps, ±9.4%,
2026.04.02  09.58.56,4.29 cps, ±9.7%,
2026.04.02  09.57.20,4.33 cps, ±9.6%,
2026.04.02  09.55.44,4.53 cps, ±9.4%,
2026.04.02  09.54.08,4.33 cps, ±9.6%,
2026.04.02  09.52.32,4.21 cps, ±9.8%,
2026.04.02  09.50.56,4.08 cps, ±9.9%,
2026.04.02  09.49.20,3.96 cps, ±10.1%,
2026.04.02  09.47.44,4.51 cps, ±9.4%,
2026.04.02  09.46.08,4.19 cps, ±9.8%,
2026.04.02  09.44.32,3.72 cps, ±10.4%,
2026.04.02  09.42.56,4.18 cps, ±9.8%,
2026.04.02  09.41.20,4.55 cps, ±9.4%,
2026.04.02  09.39.44,4.55 cps, ±9.4%,
2026.04.02  09.38.08,4.24 cps, ±9.7%,
2026.04.02  09.36.32,4.41 cps, ±9.5%,
2026.04.02  09.34.56,4.2 cps, ±9.8%,
2026.04.02  09.33.20,4.32 cps, ±9.6%,
2026.04.02  09.31.44,4.59 cps, ±9.3%,
2026.04.02  09.30.08,4.04 cps, ±10.0%,
2026.04.02  09.28.32,4.09 cps, ±9.9%,
2026.04.02  09.26.56,4.24 cps, ±9.7%,
2026.04.02  09.25.20,4.24 cps, ±9.7%,
2026.04.02  09.23.44,4.33 cps, ±9.6%,
2026.04.02  09.22.08,4.27 cps, ±9.7%,
2026.04.02  09.20.32,4.3 cps, ±9.6%,
2026.04.02  09.18.56,4.1 cps, ±9.9%,
2026.04.02  09.17.20,4.24 cps, ±9.7%,
2026.04.02  09.15.44,4.23 cps, ±9.7%,
2026.04.02  09.14.08,4.18 cps, ±9.8%,
2026.04.02  09.12.32,3.98 cps, ±10.0%,
2026.04.02  09.10.56,4.19 cps, ±9.8%,
2026.04.02  09.09.20,3.97 cps, ±10.0%,
2026.04.02  09.07.44,4.62 cps, ±9.3%,
2026.04.02  09.06.08,4.36 cps, ±9.6%,
2026.04.02  09.04.32,4.33 cps, ±9.6%,
2026.04.02  09.02.56,4.31 cps, ±9.6%,
2026.04.02  09.01.20,4.99 cps, ±9.0%,
