Real time,Count rate,CR error,Offset (cm)
2026.04.07  09.29.15,4.38 cps, ±9.6%,4
2026.04.07  09.29.15,,,
2026.04.07  09.29.16,,,
2026.04.07  09.29.17,,,
2026.04.07  09.30.03,4.79 cps, ±9.1%,
2026.04.07  09.31.39,5.02 cps, ±8.9%,
2026.04.07  09.33.15,4.68 cps, ±9.2%,
2026.04.07  09.34.51,5.23 cps, ±8.7%,
2026.04.07  09.36.27,4.85 cps, ±9.1%,
2026.04.07  09.37.17,,,
2026.04.07  09.38.03,4.86 cps, ±9.1%,
2026.04.07  09.39.39,5.05 cps, ±8.9%,
2026.04.07  09.41.15,5.11 cps, ±8.8%,
2026.04.07  09.42.51,5.14 cps, ±8.8%,
2026.04.07  09.44.27,5.43 cps, ±8.6%,
2026.04.07  09.45.17,,,
2026.04.07  09.46.03,5.03 cps, ±8.9%,
2026.04.07  09.47.39,4.77 cps, ±9.2%,
2026.04.07  09.49.15,5.05 cps, ±8.9%,
2026.04.07  09.50.51,5.12 cps, ±8.8%,
2026.04.07  09.52.27,4.97 cps, ±9.0%,
2026.04.07  09.53.16,,,
2026.04.07  09.53.17,,,
2026.04.07  09.54.03,5.09 cps, ±8.9%,
2026.04.07  09.55.39,5.49 cps, ±8.5%,
2026.04.07  09.57.15,4.83 cps, ±9.1%,
2026.04.07  09.58.51,4.92 cps, ±9.0%,
2026.04.07  10.00.27,5.27 cps, ±8.7%,
2026.04.07  10.01.17,,,
2026.04.07  10.02.03,5.33 cps, ±8.7%,
2026.04.07  10.03.39,4.96 cps, ±9.0%,
2026.04.07  10.05.15,4.85 cps, ±9.1%,
2026.04.07  10.06.51,5.01 cps, ±8.9%,
2026.04.07  10.08.27,5.14 cps, ±8.8%,
2026.04.07  10.10.03,5.29 cps, ±8.7%,
2026.04.07  10.10.17,,,
2026.04.07  10.11.39,5.51 cps, ±8.5%,
2026.04.07  10.13.15,5.15 cps, ±8.8%,
2026.04.07  10.14.51,5.22 cps, ±8.8%,
2026.04.07  10.16.27,4.8 cps, ±9.1%,
2026.04.07  10.17.52,,,
2026.04.07  10.18.03,5.12 cps, ±8.8%,
2026.04.07  10.19.17,,,
2026.04.07  10.19.39,4.74 cps, ±9.2%,
2026.04.07  10.21.15,5.12 cps, ±8.8%,
2026.04.07  10.22.50,4.89 cps, ±9.1%,
2026.04.07  10.24.26,5.1 cps, ±8.9%,
2026.04.07  10.26.02,5.02 cps, ±8.9%,
2026.04.07  10.27.38,5.35 cps, ±8.6%,
2026.04.07  10.29.14,5.06 cps, ±8.9%,
2026.04.07  10.29.17,,,
2026.04.07  10.30.50,5.14 cps, ±8.8%,
2026.04.07  10.32.26,5.16 cps, ±8.8%,
2026.04.07  10.34.02,5.06 cps, ±8.9%,
2026.04.07  10.35.38,4.95 cps, ±9.0%,
2026.04.07  10.37.14,4.98 cps, ±9.0%,
2026.04.07  10.38.50,4.95 cps, ±9.0%,
2026.04.07  10.39.17,,,
2026.04.07  10.40.26,4.86 cps, ±9.1%,
2026.04.07  10.42.02,4.69 cps, ±9.2%,
2026.04.07  10.43.38,5.24 cps, ±8.7%,
2026.04.07  10.43.38,,,
2026.04.07  10.45.14,4.99 cps, ±9.0%,
2026.04.07  10.46.50,5.04 cps, ±8.9%,
2026.04.07  10.48.26,4.84 cps, ±9.1%,
2026.04.07  10.50.02,4.68 cps, ±9.2%,
2026.04.07  10.50.17,,,
2026.04.07  10.51.38,5.24 cps, ±8.7%,
2026.04.07  10.53.14,5.2 cps, ±8.8%,
2026.04.07  10.54.50,5.66 cps, ±8.4%,
2026.04.07  10.56.26,5.1 cps, ±8.9%,
2026.04.07  10.58.02,5.16 cps, ±8.8%,
2026.04.07  10.59.38,4.97 cps, ±9.0%,
2026.04.07  11.01.14,4.91 cps, ±9.0%,
2026.04.07  11.01.17,,,
2026.04.07  11.02.50,4.91 cps, ±9.0%,
2026.04.07  11.04.26,4.93 cps, ±9.0%,
2026.04.07  11.06.02,5.29 cps, ±8.7%,
2026.04.07  11.07.38,5.01 cps, ±8.9%,
2026.04.07  11.09.14,5.51 cps, ±8.5%,
2026.04.07  11.09.18,,,
2026.04.07  11.10.50,5.02 cps, ±8.9%,
2026.04.07  11.12.26,5.06 cps, ±8.9%,
2026.04.07  11.13.17,,,
2026.04.07  11.14.02,4.94 cps, ±9.0%,
2026.04.07  11.15.38,4.91 cps, ±9.0%,
2026.04.07  11.17.14,5.25 cps, ±8.7%,
2026.04.07  11.18.50,5.05 cps, ±8.9%,
2026.04.07  11.20.26,5.1 cps, ±8.9%,
2026.04.07  11.22.02,5.3 cps, ±8.7%,
2026.04.07  11.23.38,4.95 cps, ±9.0%,
2026.04.07  11.24.16,,,
2026.04.07  11.25.14,5.05 cps, ±8.9%,
2026.04.07  11.26.50,4.89 cps, ±9.1%,
2026.04.07  11.28.26,4.84 cps, ±9.1%,
2026.04.07  11.30.02,4.84 cps, ±9.1%,
2026.04.07  11.31.38,5.1 cps, ±8.9%,
