Real time,Count rate,CR error,Offset (cm)
2026.04.07  11.33.14,5.39 cps, ±8.6%,
2026.04.07  11.34.50,5.47 cps, ±8.6%,
2026.04.07  11.35.16,,,
2026.04.07  11.35.31,,,
2026.04.07  11.36.26,5.18 cps, ±8.8%,
2026.04.07  11.38.02,5.28 cps, ±8.7%,
2026.04.07  11.39.38,4.39 cps, ±9.6%,
2026.04.07  11.41.14,4.85 cps, ±9.1%,
2026.04.07  11.42.50,5.16 cps, ±8.8%,
2026.04.07  11.44.26,4.71 cps, ±9.2%,
2026.04.07  11.46.02,4.88 cps, ±9.1%,
2026.04.07  11.46.16,,,
2026.04.07  11.47.38,4.8 cps, ±9.1%,
2026.04.07  11.49.14,5.25 cps, ±8.7%,
2026.04.07  11.50.50,5.05 cps, ±8.9%,
2026.04.07  11.52.26,5.03 cps, ±8.9%,
2026.04.07  11.54.02,4.97 cps, ±9.0%,
2026.04.07  11.55.38,4.89 cps, ±9.1%,
2026.04.07  11.57.14,4.73 cps, ±9.2%,
2026.04.07  11.58.16,,,
2026.04.07  11.58.50,4.64 cps, ±9.3%,
2026.04.07  12.00.26,5.19 cps, ±8.8%,
2026.04.07  12.01.54,,,
2026.04.07  12.02.02,4.78 cps, ±9.1%,
2026.04.07  12.03.38,4.97 cps, ±9.0%,
2026.04.07  12.05.14,5.4 cps, ±8.6%,
2026.04.07  12.06.50,5.61 cps, ±8.4%,
2026.04.07  12.08.26,5.05 cps, ±8.9%,
2026.04.07  12.10.02,4.86 cps, ±9.1%,
2026.04.07  12.11.16,,,
2026.04.07  12.11.38,4.77 cps, ±9.2%,
2026.04.07  12.13.14,5.15 cps, ±8.8%,
2026.04.07  12.14.50,4.91 cps, ±9.0%,
2026.04.07  12.16.26,4.92 cps, ±9.0%,
2026.04.07  12.18.02,4.67 cps, ±9.3%,
2026.04.07  12.19.38,5.17 cps, ±8.8%,
2026.04.07  12.21.14,5.12 cps, ±8.8%,
2026.04.07  12.22.50,4.83 cps, ±9.1%,
2026.04.07  12.24.26,4.92 cps, ±9.0%,
2026.04.07  12.26.02,5.19 cps, ±8.8%,
2026.04.07  12.26.16,,,
2026.04.07  12.27.34,,,
2026.04.07  12.27.38,5.09 cps, ±8.9%,
2026.04.07  12.29.14,4.69 cps, ±9.2%,
2026.04.07  12.30.50,4.89 cps, ±9.1%,
2026.04.07  12.32.26,4.74 cps, ±9.2%,
2026.04.07  12.34.02,5.25 cps, ±8.7%,
2026.04.07  12.35.38,4.84 cps, ±9.1%,
2026.04.07  12.37.14,5.4 cps, ±8.6%,
2026.04.07  12.38.50,4.69 cps, ±9.2%,
2026.04.07  12.40.26,5.29 cps, ±8.7%,
2026.04.07  12.42.02,5.23 cps, ±8.7%,
2026.04.07  12.43.38,4.85 cps, ±9.1%,
2026.04.07  12.45.14,5.17 cps, ±8.8%,
2026.04.07  12.45.16,,,
2026.04.07  12.46.50,5 cps, ±8.9%,
2026.04.07  12.48.26,4.95 cps, ±9.0%,
2026.04.07  12.50.02,4.93 cps, ±9.0%,
2026.04.07  12.51.38,4.78 cps, ±9.1%,
2026.04.07  12.52.54,,,
2026.04.07  12.53.14,5.17 cps, ±8.8%,
2026.04.07  12.54.50,4.9 cps, ±9.0%,
2026.04.07  12.56.25,4.73 cps, ±9.2%,
2026.04.07  12.58.01,5.35 cps, ±8.6%,
2026.04.07  12.59.37,4.86 cps, ±9.1%,
2026.04.07  13.01.13,5.04 cps, ±8.9%,
2026.04.07  13.02.49,5.39 cps, ±8.6%,
2026.04.07  13.04.25,5.29 cps, ±8.7%,
