Real time,Count rate,CR error,Comment
2026.04.07  18.14.03,5.16 cps, ±8.8%,""
2026.04.07  18.14.20,,,""
2026.04.07  18.15.39,5.61 cps, ±8.4%,""
2026.04.07  18.17.15,5.22 cps, ±8.8%,""
2026.04.07  18.18.51,4.96 cps, ±9.0%,""
2026.04.07  18.18.57,,,""
2026.04.07  18.20.27,5.41 cps, ±8.6%,""
2026.04.07  18.22.03,5.53 cps, ±8.5%,""
2026.04.07  18.22.57,,,""
2026.04.07  18.23.39,5.45 cps, ±8.6%,""
2026.04.07  18.25.15,5.32 cps, ±8.7%,""
2026.04.07  18.26.51,5.58 cps, ±8.5%,""
2026.04.07  18.28.27,5.33 cps, ±8.7%,""
2026.04.07  18.28.57,,,""
2026.04.07  18.30.03,5.14 cps, ±8.8%,""
2026.04.07  18.31.39,4.8 cps, ±9.1%,""
2026.04.07  18.33.15,5.49 cps, ±8.5%,""
2026.04.07  18.34.22,,,""
2026.04.07  18.34.51,5.44 cps, ±8.6%,""
2026.04.07  18.36.27,5.4 cps, ±8.6%,""
2026.04.07  18.37.57,,,""
2026.04.07  18.38.03,5.2 cps, ±8.8%,""
2026.04.07  18.39.39,5.39 cps, ±8.6%,""
2026.04.07  18.41.15,5.32 cps, ±8.7%,""
2026.04.07  18.42.50,5.09 cps, ±8.9%,""
2026.04.07  18.44.26,5.7 cps, ±8.4%,""
2026.04.07  18.46.02,5.54 cps, ±8.5%,""
2026.04.07  18.47.38,5.85 cps, ±8.3%,""
2026.04.07  18.49.14,5.28 cps, ±8.7%,""
2026.04.07  18.50.50,5.68 cps, ±8.4%,""
2026.04.07  18.50.57,,,""
2026.04.07  18.52.26,5.18 cps, ±8.8%,""
2026.04.07  18.54.02,5.6 cps, ±8.5%,""
2026.04.07  18.55.38,5.69 cps, ±8.4%,""
2026.04.07  18.57.14,5.32 cps, ±8.7%,""
2026.04.07  18.58.50,4.8 cps, ±9.1%,""
2026.04.07  18.59.07,,,""
2026.04.07  19.00.26,5.41 cps, ±8.6%,""
2026.04.07  19.02.02,5.19 cps, ±8.8%,""
2026.04.07  19.03.38,5.3 cps, ±8.7%,""
2026.04.07  19.05.14,5.24 cps, ±8.7%,""
2026.04.07  19.06.50,5.26 cps, ±8.7%,""
2026.04.07  19.08.26,5.44 cps, ±8.6%,""
2026.04.07  19.08.57,,,""
2026.04.07  19.10.02,5.82 cps, ±8.3%,""
2026.04.07  19.11.38,5.23 cps, ±8.7%,""
2026.04.07  19.13.14,5.26 cps, ±8.7%,""
2026.04.07  19.14.50,5.6 cps, ±8.5%,""
2026.04.07  19.16.26,5.07 cps, ±8.9%,""
2026.04.07  19.18.02,5.09 cps, ±8.9%,""
2026.04.07  19.19.38,5.34 cps, ±8.7%,""
2026.04.07  19.21.14,5.83 cps, ±8.3%,""
2026.04.07  19.22.50,5.15 cps, ±8.8%,""
2026.04.07  19.24.26,5.41 cps, ±8.6%,""
2026.04.07  19.24.29,,,""
2026.04.07  19.26.02,5.26 cps, ±8.7%,""
2026.04.07  19.27.38,5.55 cps, ±8.5%,""
2026.04.07  19.29.14,5.51 cps, ±8.5%,""
2026.04.07  19.30.50,5.4 cps, ±8.6%,""
2026.04.07  19.31.57,,,""
2026.04.07  19.32.26,5.33 cps, ±8.7%,""
2026.04.07  19.34.02,5.47 cps, ±8.6%,""
2026.04.07  19.35.38,5.75 cps, ±8.3%,""
2026.04.07  19.37.14,5.55 cps, ±8.5%,""
2026.04.07  19.38.50,5.64 cps, ±8.4%,""
2026.04.07  19.40.26,5.29 cps, ±8.7%,""
2026.04.07  19.42.02,5.5 cps, ±8.5%,""
2026.04.07  19.43.38,5.39 cps, ±8.6%,""
2026.04.07  19.45.14,5.53 cps, ±8.5%,""
2026.04.07  19.46.50,5.1 cps, ±8.9%,""
2026.04.07  19.48.26,5.4 cps, ±8.6%,""
2026.04.07  19.49.04,,,""
2026.04.07  19.50.02,5.29 cps, ±8.7%,""
2026.04.07  19.51.38,5.84 cps, ±8.3%,""
2026.04.07  19.53.14,5.29 cps, ±8.7%,""
2026.04.07  19.54.50,5.7 cps, ±8.4%,""
2026.04.07  19.55.57,,,""
2026.04.07  19.56.26,5.17 cps, ±8.8%,""
2026.04.07  19.58.02,5.49 cps, ±8.5%,""
2026.04.07  19.59.38,5.68 cps, ±8.4%,""
2026.04.07  20.01.14,5.11 cps, ±8.8%,""
2026.04.07  20.02.50,5.1 cps, ±8.9%,""
2026.04.07  20.04.26,5.23 cps, ±8.7%,""
2026.04.07  20.06.02,5.02 cps, ±8.9%,""
2026.04.07  20.07.38,5.95 cps, ±8.2%,""
2026.04.07  20.09.14,5.76 cps, ±8.3%,""
