Real time,Count rate,CR error,Comment
2026.04.07  20.25.18,2.51 cps, ±10.9%,""
2026.04.07  20.26.18,3.08 cps, ±9.9%,""
2026.04.07  20.28.10,2.96 cps, ±11.6%,""
2026.04.07  20.29.46,2.92 cps, ±11.7%,""
2026.04.07  20.29.56,,,""
2026.04.07  20.31.22,2.82 cps, ±11.9%,""
2026.04.07  20.32.58,2.79 cps, ±12.0%,""
2026.04.07  20.34.34,2.96 cps, ±11.6%,""
2026.04.07  20.36.10,3.12 cps, ±11.3%,""
2026.04.07  20.37.46,2.8 cps, ±12.0%,""
2026.04.07  20.39.22,2.81 cps, ±11.9%,""
2026.04.07  20.40.58,2.84 cps, ±11.9%,""
2026.04.07  20.42.34,2.86 cps, ±11.8%,""
2026.04.07  20.44.10,2.95 cps, ±11.7%,""
2026.04.07  20.45.46,2.98 cps, ±11.6%,""
2026.04.07  20.47.22,2.96 cps, ±11.6%,""
2026.04.07  20.48.56,,,""
2026.04.07  20.48.58,2.98 cps, ±11.6%,""
2026.04.07  20.50.34,2.92 cps, ±11.7%,""
2026.04.07  20.50.58,,,""
2026.04.07  20.52.10,3.18 cps, ±11.2%,""
2026.04.07  20.53.46,2.83 cps, ±11.9%,""
2026.04.07  20.55.22,3.1 cps, ±11.4%,""
2026.04.07  20.56.58,2.95 cps, ±11.7%,""
2026.04.07  20.58.34,3.29 cps, ±11.0%,""
2026.04.07  21.00.10,2.83 cps, ±11.9%,""
2026.04.07  21.01.46,3.12 cps, ±11.3%,""
2026.04.07  21.03.22,2.82 cps, ±11.9%,""
2026.04.07  21.04.58,2.95 cps, ±11.7%,""
2026.04.07  21.06.34,2.88 cps, ±11.8%,""
2026.04.07  21.08.10,3.08 cps, ±11.4%,""
2026.04.07  21.09.46,3.09 cps, ±11.4%,""
