"Latest: Time (s)","Latest: Radiation (Counts)"
15,592
30,540
45,581
60,553
75,592
90,587
105,573
120,588
135,602
150,575
165,555
180,554
195,579
210,569
225,578
240,549
255,554
270,568
285,581
300,550
315,525
330,560
345,603
360,617
375,561
390,562
405,590
420,559
435,593
450,561
465,577
480,521
495,527
510,574
525,640
540,592
555,586
570,574
585,575
600,544
